G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,12/23/2020,19-140,MIN,,DET,W (+10),0,25:09:00,5,12,0.417,1,5,0.2,4,4,1,2,2,4,4,0,0,1,1,15,12,4
2,12/26/2020,19-143,MIN,@,UTA,W (+5),0,22:20,8,12,0.667,2,3,0.667,0,0,,0,1,1,1,2,0,0,4,18,14.2,6
3,12/27/2020,19-144,MIN,@,LAL,L (-36),0,28:32:00,6,21,0.286,1,9,0.111,2,2,1,2,2,4,2,1,0,1,2,15,5.3,-14
4,12/29/2020,19-146,MIN,@,LAC,L (-23),0,24:42:00,4,10,0.4,4,7,0.571,0,0,,0,0,0,0,0,1,0,1,12,6.9,-21
5,1/1/2021,19-149,MIN,,WAS,L (-21),0,26:21:00,7,16,0.438,2,8,0.25,1,4,0.25,0,3,3,2,0,1,3,2,17,6.6,-7
6,1/3/2021,19-151,MIN,,DEN,L (-15),0,22:56,2,4,0.5,1,3,0.333,0,0,,0,0,0,4,1,0,3,1,5,3.4,-8
7,1/5/2021,19-153,MIN,@,DEN,L (-7),0,25:34:00,6,19,0.316,1,7,0.143,2,2,1,1,2,3,1,0,0,3,1,15,2.7,-9
8,1/7/2021,19-155,MIN,@,POR,L (-18),0,31:13:00,9,21,0.429,3,10,0.3,5,7,0.714,2,2,4,1,2,0,4,2,26,14,-15
9,1/9/2021,19-157,MIN,,SAS,L (-3),0,30:16:00,5,11,0.455,1,4,0.25,2,2,1,0,4,4,4,0,0,3,3,13,7.1,2
10,1/10/2021,19-158,MIN,,SAS,W (+8),0,17:41,0,8,0,0,2,0,0,0,,3,3,6,1,0,0,2,1,0,-4.3,-5
11,1/13/2021,19-161,MIN,,MEM,L (-11),0,16:51,1,6,0.167,0,2,0,0,0,,2,1,3,1,0,0,0,1,2,0.2,-3
12,1/18/2021,19-166,MIN,@,ATL,L (-11),0,30:22:00,5,16,0.313,2,5,0.4,0,0,,1,4,5,2,0,0,1,2,12,4.3,1
13,1/20/2021,19-168,MIN,,ORL,L (-1),0,22:49,3,14,0.214,1,4,0.25,1,2,0.5,0,0,0,0,0,0,2,0,8,-3,13
